link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/programmes/p02cfn7l,Programmes,BBC News,Check BBC for Programme release,https://ichef.bbci.co.uk/images/ic/314x176/p07l9rwp.jpg,UK
https://www.bbc.co.uk/programmes/p08vtxz1,Programmes,BBC News,BBC Radio 1Xtra,https://ichef.bbci.co.uk/images/ic/314x176/p08vtxpt.jpg,The Rap Game UK Podcast
https://www.bbc.co.uk/programmes/m000zn65,Programmes,BBC News,BBC Radio 1,https://ichef.bbci.co.uk/images/ic/314x176/p0bw5vgj.jpg,Radio 1's UK R&B Mix
https://www.bbc.co.uk/programmes/p07ngvv8,Programmes,BBC News,BBC Sounds,https://ichef.bbci.co.uk/images/ic/314x176/p07qfp16.jpg,RuPaul’s Drag Race UK: Weekly Catch-Up
https://www.bbc.co.uk/programmes/m000z03w,Programmes,BBC News,BBC Radio 1Xtra,https://ichef.bbci.co.uk/images/ic/314x176/p0bwmrq7.jpg,The Official UK Afrobeats Chart Show with Eddie Kadi
https://www.bbc.co.uk/programmes/p09knjvg,Programmes,BBC News,BBC Coventry & Warwickshire,https://ichef.bbci.co.uk/images/ic/314x176/p09kn7br.jpg,Coventry UK City of Culture
https://www.bbc.co.uk/programmes/l002wyy9,Programmes,BBC News,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p08ltm58.jpg,League of Legends - UK League Championship - semi-finals
https://www.bbc.co.uk/programmes/l002t8t5,Programmes,BBC News,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p08ltm58.jpg,League of Legends - UK League Championship - round seven
https://www.bbc.co.uk/programmes/m00130hp,Programmes,BBC News Channel,3 December 2021,https://ichef.bbci.co.uk/images/ic/314x176/p0b7s5gx.jpg,Is Anti-Semitism on the Rise in the UK?
https://www.bbc.co.uk/programmes/p07ngtm4,Programmes,Unknown,BBC Sounds,https://ichef.bbci.co.uk/images/ic/314x176/p07vxscl.jpg,RuPaul’s Drag Race UK: The Podcast
https://www.bbc.co.uk/news/uk-51768274,News,Unknown,UK,https://ichef.bbci.co.uk/news/416/cpsprodpb/B179/production/_119333454_coronavirus_lookup_index_promo-nc.png,Covid-19 in the UK: How many coronavirus cases are there in my area?
https://www.bbc.co.uk/programmes/p002vsn2,Programmes,BBC World Service,UK,https://ichef.bbci.co.uk/images/ic/314x176/p01lyrff.jpg,Politics UK Archive
https://www.bbc.co.uk/programmes/p07kt8b4,Programmes,BBC World Service,BBC Three,https://ichef.bbci.co.uk/images/ic/314x176/p07p5h4s.jpg,RuPaul's Drag Race UK
https://www.bbc.co.uk/programmes/p0955xfs,Programmes,BBC World Service,BBC Three,https://ichef.bbci.co.uk/images/ic/314x176/p096dmrs.jpg,RuPaul’s Drag Race UK: Queens on Lockdown
https://www.bbc.co.uk/news/uk-wales-61077142,News,BBC World Service,Wales,https://ichef.bbci.co.uk/news/416/cpsprodpb/10808/production/_124129576_gettyimages-1330384890.jpg,WWE: Cardiff hosts first UK stadium event in 30 years
https://www.bbc.co.uk/programmes/m000zns7,Programmes,BBC World Service,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p09vcvtl.jpg,Politics UK
https://www.bbc.co.uk/programmes/p0bfgdvt,Programmes,BBC World Service,BBC Three,https://ichef.bbci.co.uk/images/ic/314x176/p0bhmvw1.jpg,RuPaul’s Drag Race UK vs the World
https://www.bbc.co.uk/programmes/p07jwq62,Programmes,BBC World Service,BBC Three,https://ichef.bbci.co.uk/images/ic/314x176/p07khqlv.jpg,The Rap Game UK
https://www.bbc.co.uk/programmes/b0bthvwp,Programmes,BBC World Service,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p06sc32q.jpg,Defenders UK
https://www.bbc.co.uk/programmes/m000zmc9,Programmes,BBC Radio 4,Check BBC for Programme release,https://ichef.bbci.co.uk/images/ic/314x176/p09wjkr8.jpg,Electric Ride UK
https://www.bbc.co.uk/programmes/b01mk8zs,Programmes,BBC Radio 4,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p01hxh7j.jpg,Walter Kershaw: The UK's First Street Artist?
https://www.bbc.co.uk/programmes/p037726w,Programmes,BBC World Service,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,Network UK
https://www.bbc.co.uk/programmes/m000jfb6,Programmes,BBC World Service,BBC Radio 1,https://ichef.bbci.co.uk/images/ic/314x176/p08dh3xv.jpg,Radio 1's Big Weekend - UK 2020
https://www.bbc.co.uk/programmes/b00xj3rw,Programmes,BBC Radio 4,BBC Radio 1,https://ichef.bbci.co.uk/images/ic/314x176/p01nrymk.jpg,UK Confidential
https://www.bbc.co.uk/programmes/w172yf8fmxw3gds,Programmes,BBC World Service,13 hours ago,https://ichef.bbci.co.uk/images/ic/314x176/p085qr7m.jpg,Newsday: UK and US investigate claims chemical weapons used in Mariupol
https://www.bbc.co.uk/programmes/p07t8m2b,Programmes,BBC World Service,7 November 2019,https://ichef.bbci.co.uk/images/ic/314x176/p07t7xw0.jpg,The Outlook Podcast Archive: Life as the UK's first black TV reporter
https://www.bbc.co.uk/programmes/m00160gr,Programmes,BBC World Service,BBC Radio 1Xtra,https://ichef.bbci.co.uk/images/ic/314x176/p0bwmw34.jpg,DJ Target: The UK Touchdown Tour: Manchester
https://www.bbc.co.uk/news/business-61064546,News,BBC World Service,Business,https://ichef.bbci.co.uk/news/416/cpsprodpb/1159/production/_124114440_carnew.png,UK economic growth slows sharply in February
https://www.bbc.co.uk/news/science-environment-61065698,News,BBC World Service,Science & Environment,https://ichef.bbci.co.uk/news/416/cpsprodpb/1807/production/_124115160_796-scaled.jpg,SKA: UK to build software brain for giant radio telescope
https://www.bbc.co.uk/news/uk-politics-61045825,News,Unknown,UK Politics,https://ichef.bbci.co.uk/news/416/cpsprodpb/9BA8/production/_124084893_gettyimages-1369798798.jpg,Rishi Sunak's wife to pay UK tax on overseas income
https://www.bbc.co.uk/news/world-latin-america-61028653,News,Unknown,Latin America & Caribbean,https://ichef.bbci.co.uk/news/416/cpsprodpb/D2AA/production/_124103935_p0c0cp8m.jpg,Falklands War: 'The UK is still usurping our land'
https://www.bbc.co.uk/sport/football/61043313,News,Unknown,Scottish,https://ichef.bbci.co.uk/news/416/cpsprodpb/17B5/production/_124096060_hampden.jpg,Hampden nominated by Scottish FA for UK & Ireland Euro 2028 bid
https://www.bbc.co.uk/news/business-61041926,News,Unknown,Business,https://ichef.bbci.co.uk/news/416/cpsprodpb/1745F/production/_124072359_976_gettyimages-1369798607.jpg,Akshata Murty: Chancellor's wife could save £280m in UK tax
https://www.bbc.co.uk/news/60555166,News,Unknown,Reality Check,https://ichef.bbci.co.uk/news/416/cpsprodpb/67F7/production/_123451662_976_2022-02-28t101358z_343637574_rc2yss921sgz_rtrmadp_3_ukraine-crisis-border.jpg,How do the UK's schemes for Ukrainian refugees work?
https://www.bbc.co.uk/news/uk-61037192,News,Unknown,UK,https://ichef.bbci.co.uk/news/416/cpsprodpb/7F2F/production/_124095523_elenaandsofia.jpg,Homes for Ukraine: Family's 'torturous' wait for a UK visa
https://www.bbc.co.uk/news/uk-england-leeds-61037000,News,Unknown,Leeds & West Yorkshire,https://ichef.bbci.co.uk/news/416/cpsprodpb/15643/production/_124091678_mediaitem124091673.jpg,Drinkers for Ukraine beer delivery nears UK
https://www.bbc.co.uk/news/uk-61028712,News,Unknown,UK,https://ichef.bbci.co.uk/news/416/cpsprodpb/1715/production/_124090950_976_patel.jpg,Ukraine refugees: Patel apologises for UK visa delays
https://www.bbc.co.uk/programmes/m00160fv,Programmes,Unknown,BBC Radio 1Xtra,https://ichef.bbci.co.uk/images/ic/314x176/p0bwmxdd.jpg,Heartless Crew: Heartless UK R&B and soul special
https://www.bbc.co.uk/programmes/w172yfbwlvctmx4,Programmes,BBC World Service,3 days ago,https://ichef.bbci.co.uk/images/ic/314x176/p0c0dq3q.jpg,Newshour: UK prime minister pledges aid to Ukraine
https://www.bbc.co.uk/news/uk-england-nottinghamshire-61051461,News,Unknown,Nottingham,https://ichef.bbci.co.uk/news/416/cpsprodpb/130A4/production/_123288977_073483438-1.jpg,"Newark: Man arrested at UK border after £1,599 phone stolen"
https://www.bbc.co.uk/sport/61029737,News,Unknown,Sport,https://ichef.bbci.co.uk/news/416/cpsprodpb/8744/production/_124082643_olympicrings.jpg,UK Sport to launch Sport Integrity service to safeguard athletes
https://www.bbc.co.uk/sport/football/61023403,News,Unknown,Welsh,https://ichef.bbci.co.uk/news/416/cpsprodpb/1177B/production/_124074517_220226airbusukvllanidloestown-73.jpg,Cymru Premier: Airbus UK Broughton obtain Tier 1 licence to secure promotion
https://www.bbc.co.uk/sport/61026892,News,Unknown,Sport,https://ichef.bbci.co.uk/news/416/cpsprodpb/8A06/production/_123943353_emilybridges.jpg,Emily Bridges: UK Sport chief has 'huge empathy' for transgender cyclist and her competitors
https://www.bbc.co.uk/news/uk-politics-61025619,News,Unknown,UK Politics,https://ichef.bbci.co.uk/news/416/cpsprodpb/9AF3/production/_124076693_p0bzxhzh.jpg,Johnson: Plan will provide UK with energy security
