link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/programmes/m00076zz,Programmes,BBC Radio 4,30 July 2019,https://ichef.bbci.co.uk/images/ic/314x176/p07hnl6r.jpg,France and Germany: Divided They Stand
https://www.bbc.co.uk/programmes/p03cgnj1,Programmes,BBC World Service,30 July 2019,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,France Versus The World
https://www.bbc.co.uk/programmes/b01flrss,Programmes,BBC Radio 4,30 July 2019,https://ichef.bbci.co.uk/images/ic/314x176/p01l8hx0.jpg,La France Maintenant
https://www.bbc.co.uk/programmes/p02pcb42,Programmes,BBC Radio 4,BBC Radio 5 live,https://ichef.bbci.co.uk/images/ic/314x176/p06d95xb.jpg,BeSpoke: at the Tour de France
https://www.bbc.co.uk/programmes/m000kc1j,Programmes,BBC Radio 4,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p08hc6qn.jpg,France '98 - The Three Musketeers
https://www.bbc.co.uk/programmes/b01fhysd,Programmes,BBC Radio 4,10 April 2012,https://ichef.bbci.co.uk/images/ic/314x176/p01hdzdj.jpg,France and Race: A Question of Identite
https://www.bbc.co.uk/programmes/m0003jpr,Programmes,BBC Radio 4,28 March 2019,https://ichef.bbci.co.uk/images/ic/314x176/p0738cgk.jpg,Making Art with Frances Morris: Sophie Calle
https://www.bbc.co.uk/programmes/b03g937k,Programmes,BBC Radio 4,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p01lb096.jpg,The Long Crawl to France
https://www.bbc.co.uk/programmes/p001ymv2,Programmes,BBC Radio 4,BBC Radio Nottingham,https://ichef.bbci.co.uk/images/ic/314x176/p090nq5w.jpg,Frances Finn
https://www.bbc.co.uk/sport/av/rugby-union/60967499,Programmes,BBC Radio 4,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/133B0/production/_123986787_p0bz2619.jpg,Women's Six Nations: France overpower Ireland 40-5 to claim second Six Nations win
https://www.bbc.co.uk/sport/rugby-union/60967006,Unknown,Unknown,Irish Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/10C46/production/_123987686_lauresansus.jpg,Women's Six Nations: France make it two wins from two by overpowering Ireland 40-5
https://www.bbc.co.uk/programmes/b03j86yd,Programmes,Unknown,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p01lb50r.jpg,Floyd on France
https://www.bbc.co.uk/programmes/p03jrlt7,Programmes,BBC World Service,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,France and the Arab World
https://www.bbc.co.uk/sport/rugby-union/60896036,Programmes,BBC World Service,Irish Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/A6A1/production/_123875624_griffinindex.jpg,Ciara Griffin column: Ireland can't let ill-discipline stand in their way in France
https://www.bbc.co.uk/sport/live/rugby-union/60903503,Programmes,BBC World Service,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/676E/production/_123987462_inpho_01986584.jpg,Women's Six Nations: France overpower Ireland - reaction & tries
https://www.bbc.co.uk/sport/rugby-union/60941173,Programmes,BBC World Service,Irish Rugby,https://ichef.bbci.co.uk/news/416/cpsprodpb/239C/production/_123961190_inpho_01968433.jpg,Women's Six Nations: Ireland wing Beibhinn Parsons on bench for France trip
https://www.bbc.co.uk/sport/rugby-union/60930520,Programmes,BBC World Service,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/9867/production/_123951093_scarratt_getty.jpg,Women's Six Nations: France v England finale sells out
https://www.bbc.co.uk/sport/football/60922478,Programmes,BBC World Service,European Football,https://ichef.bbci.co.uk/news/416/cpsprodpb/1419E/production/_123943328_kylianmbappe.jpg,"France 5-0 South Africa: Kylian Mbappe nets twice with Olivier Giroud, Wissam Ben Yedder and Matteo Guendouzi also scoring"
https://www.bbc.co.uk/programmes/m00166zr,Programmes,BBC World Service,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p0bxy62c.jpg,Women's Six Nations Rugby: 2022: France v Ireland
https://www.bbc.co.uk/programmes/p042jbpy,Programmes,BBC World Service,S4C,https://ichef.bbci.co.uk/images/ic/314x176/p09m99nv.jpg,Seiclo: Le Tour de France
https://www.bbc.co.uk/programmes/b00tr8xs,Programmes,Unknown,BBC Radio nan Gàidheal,https://ichef.bbci.co.uk/images/ic/314x176/p01gwcx8.jpg,Tour De France
https://www.bbc.co.uk/programmes/p02cw66g,Programmes,Unknown,S4C,https://ichef.bbci.co.uk/images/ic/314x176/p02d9rxs.jpg,Masters in France o'r Stiwdio Gefn
https://www.bbc.co.uk/programmes/b00hjzxl,Programmes,BBC Radio 4,17 February 2009,https://ichef.bbci.co.uk/images/ic/314x176/p01gddcm.jpg,Vive La France
https://www.bbc.co.uk/programmes/b08xh4dy,Programmes,BBC Parliament,1 July 2017,https://ichef.bbci.co.uk/images/ic/314x176/p057r38y.jpg,"Europe's Summer of Elections - Explaining Political Dynamics in France, Britain and Germany"
https://www.bbc.co.uk/programmes/b00k3x23,Programmes,BBC Radio 4,4 May 2009,https://ichef.bbci.co.uk/images/ic/314x176/p01gg6ch.jpg,France's Forgotten Concentration Camps
https://www.bbc.co.uk/programmes/n3ct6lcm,Programmes,BBC Radio 4,BBC  World News,https://ichef.bbci.co.uk/images/ic/314x176/p075j0gy.jpg,"Jupiter - President Macron, France and Europe"
https://www.bbc.co.uk/programmes/m0001sw4,Programmes,BBC Radio 4,BBC Radio Cymru,https://ichef.bbci.co.uk/images/ic/314x176/p06vgc25.jpg,Tour de France Gareth Rhys Owen
https://www.bbc.co.uk/programmes/b0bft026,Programmes,BBC Radio 4,BBC Radio Wales,https://ichef.bbci.co.uk/images/ic/314x176/p06g11kr.jpg,Plan G: How a Welshman Won the Tour de France
https://www.bbc.co.uk/programmes/p06g83k2,Programmes,BBC Radio 4,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p06gc2cy.jpg,Geraint Thomas' Life-Changing Tour de France Win
https://www.bbc.co.uk/programmes/m0005k59,Programmes,BBC Radio 4,BBC Scotland,https://ichef.bbci.co.uk/images/ic/314x176/p07jhxr3.jpg,Scotland’s Heroes: The Road to France
https://www.bbc.co.uk/programmes/b00f2dcl,Programmes,BBC Radio 4,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p01l2vth.jpg,Misfits in France
https://www.bbc.co.uk/sport/av/rugby-union/60895224,Unknown,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/8458/production/_123908833_p0bxv167.jpg,Women's Six Nations: France secure bonus-point win against Italy
https://www.bbc.co.uk/sport/av/rugby-union/60895222,Unknown,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/3638/production/_123908831_p0bxtwl2.jpg,Women's Six Nations: Emilie Boulard scores brilliant try for France against Italy
https://www.bbc.co.uk/sport/rugby-union/60894162,Unknown,Unknown,Rugby Union,https://ichef.bbci.co.uk/news/416/cpsprodpb/6FA4/production/_123908582_gettyimages-1232494335.jpg,Women's Six Nations 2022: France 39-6 Italy
https://www.bbc.co.uk/programmes/b09jqvqv,Programmes,Unknown,BBC ALBA,https://ichef.bbci.co.uk/images/ic/314x176/p05s68mw.jpg,Frances: A Stri ri MS
https://www.bbc.co.uk/programmes/b07j6yk2,Programmes,Unknown,BBC Radio Ulster,https://ichef.bbci.co.uk/images/ic/314x176/p04fyzz1.jpg,The Green Fields of France
https://www.bbc.co.uk/programmes/m0001qfn,Programmes,Unknown,BBC Radio nan Gàidheal,https://ichef.bbci.co.uk/images/ic/314x176/p0b8trth.jpg,Frances: Ceum air cheum
https://www.bbc.co.uk/programmes/b07zhwl7,Programmes,BBC Radio 4,BBC Radio nan Gàidheal,https://ichef.bbci.co.uk/images/ic/314x176/p046y5rq.jpg,Deborah Frances-White Rolls the Dice
https://www.bbc.co.uk/programmes/m000b1qp,Programmes,BBC Radio 4,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p07syb6q.jpg,Rick Stein’s Secret France
https://www.bbc.co.uk/programmes/b03b9bhg,Programmes,BBC Parliament,14 September 2013,https://ichef.bbci.co.uk/images/ic/314x176/p01k0vmr.jpg,TUC 2013 - Frances O'Grady Speech
https://www.bbc.co.uk/programmes/m000tlbp,Programmes,BBC Radio 4,14 September 2013,https://ichef.bbci.co.uk/images/ic/314x176/p09b8ftz.jpg,Deborah Frances-White Introduces...
https://www.bbc.co.uk/programmes/b08rqqbs,Programmes,BBC Parliament,8 May 2017,https://ichef.bbci.co.uk/images/ic/314x176/p052c7f1.jpg,French Presidential Election Result: What Next for France and Europe?
https://www.bbc.co.uk/programmes/n27vnqcs,Programmes,BBC Parliament,BBC  World News,https://ichef.bbci.co.uk/images/ic/314x176/p06cxk7p.jpg,Art of France
