title,summary,contents
France and Germany: Divided They Stand,Could the 'Rhine Divide' between France and Germany threaten the EU more than Brexit?,Unknown
France Versus The World,How France is coming to terms with rapid global change,Unknown
La France Maintenant,Andrew Hussey goes beyond the cliches to discover the true face of 21st-century France,Unknown
BeSpoke: at the Tour de France,"Gareth Rhys Owen, Rob Hayles and Simon Brotherton with the latest from the Tour de France",Unknown
France '98 - The Three Musketeers,"The contrasting fortunes of David Beckham, Zinedine Zidane and Ronaldo at France '98.",Unknown
France and Race: A Question of Identite,Julian Jackson on the issue at the heart of the forthcoming French presidential election.,Unknown
Making Art with Frances Morris: Sophie Calle,Frances Morris travels to Paris to meet mischievous French artist Sophie Calle.,Unknown
The Long Crawl to France,Every year more people try to swim the English Channel. Jolyon Jenkins joins the dreamers,Unknown
Frances Finn,Join Frances Finn on BBC Radio Nottingham.,Unknown
Women's Six Nations: France overpower Ireland 40-5 to claim second Six Nations win,Watch highlights as France make it two wins from two in the Women's Six Nations by securing a comfortable six-try bonus-point victory over Ireland in Toulouse.,Unknown
Women's Six Nations: France make it two wins from two by overpowering Ireland 40-5,France continue their successful start to the Women's Six Nations by overpowering Ireland 40-5 in Toulouse to make it two wins from two.,Unknown
Floyd on France,Keith Floyd nips over the channel to savour the best of French cuisine.,Unknown
France and the Arab World,Examining the French influence in Arab countries,Unknown
Ciara Griffin column: Ireland can't let ill-discipline stand in their way in France,"Ireland's ill-discipline cost them against Wales. It's imperative they keep the penalty count down as they look to bounce back away to France, writes Ciara Griffin.",Unknown
Women's Six Nations: France overpower Ireland - reaction & tries,Relive the key moments and watch the tries as France cruised to a comfortable 40-5 victory over Ireland in the Six Nations meeting in Toulouse.,Unknown
Women's Six Nations: Ireland wing Beibhinn Parsons on bench for France trip,Ireland head coach Greg McWilliams names an unchanged team for Saturday's Six Nations trip to France.,Unknown
Women's Six Nations: France v England finale sells out,England's final-round showdown with Women's Six Nations rivals France sells out Bayonne's Stade Jean Dauger more than a month in advance.,Unknown
