link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/programmes/b09wvpbw,Programmes,BBC Radio 4,29 March 2018,https://ichef.bbci.co.uk/images/ic/314x176/p062m4vm.jpg,The EU after Brexit
https://www.bbc.co.uk/programmes/l0027tff,Programmes,BBC Radio 4,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p08crb91.jpg,Rocket League - EU Spring Series
https://www.bbc.co.uk/programmes/b01ljk52,Programmes,BBC Radio 4,8 August 2012,https://ichef.bbci.co.uk/images/ic/314x176/p01hw3wt.jpg,The EU Debate
https://www.bbc.co.uk/programmes/w3ct32qm,Programmes,BBC World Service,4 days ago,https://ichef.bbci.co.uk/images/ic/314x176/p0by6gmj.jpg,HARDtalk: Mairead McGuinness: How far will the EU go to support Kyiv?
https://www.bbc.co.uk/programmes/m001603j,Programmes,BBC News Channel,4 days ago,https://ichef.bbci.co.uk/images/ic/314x176/p0by575x.jpg,"HARDtalk: Mairead McGuinness, EU Commissioner for Financial Services"
https://www.bbc.co.uk/programmes/w172xzlqy4rsbb2,Programmes,BBC World Service,26 March,https://ichef.bbci.co.uk/images/ic/314x176/p0bx7k48.jpg,World Business Report: US announces EU liquefied natural gas deal
https://www.bbc.co.uk/programmes/b07hk5dr,Programmes,BBC World Service,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p03z1jqw.jpg,The Big EU Reality Check
https://www.bbc.co.uk/programmes/b0093v2d,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p02lrpbt.jpg,Lords EU and Russia Committee
https://www.bbc.co.uk/programmes/b07czwhx,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p03w3qz8.jpg,How Should I Vote? - The EU Debate
https://www.bbc.co.uk/programmes/b07hk5h6,Programmes,Unknown,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p03z1bwg.jpg,EU Referendum: The Great Debate
https://www.bbc.co.uk/programmes/m000vrwv,Programmes,BBC Parliament,BBC One London,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnkz.jpg,Party Election Broadcasts: Rejoin The EU
https://www.bbc.co.uk/programmes/b07j7hjm,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p03kwd2z.jpg,EU Referendum - The Result
https://www.bbc.co.uk/programmes/m000wf23,Programmes,BBC Parliament,BBC One London,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnkz.jpg,Party Election Broadcasts: Rejoin EU
https://www.bbc.co.uk/programmes/p03xgbzl,Programmes,BBC Parliament,BBC Hereford & Worcester,https://ichef.bbci.co.uk/images/ic/314x176/p03xl7v0.jpg,EU Referendum
https://www.bbc.co.uk/programmes/b07gyccz,Programmes,BBC Parliament,BBC Radio Wales,https://ichef.bbci.co.uk/images/ic/314x176/p03xlkd2.jpg,The BBC Radio Wales EU Referendum Debates
https://www.bbc.co.uk/programmes/n3ct5dpg,Programmes,BBC Parliament,BBC  World News,https://ichef.bbci.co.uk/images/ic/314x176/p07kfh1t.jpg,Brexit EU Summit
https://www.bbc.co.uk/programmes/b07hs8g2,Programmes,BBC News Channel,20 June 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03kwd2z.jpg,EU Referendum - Scotland Decides
https://www.bbc.co.uk/programmes/m0005pf6,Programmes,BBC Parliament,20 May 2019,https://ichef.bbci.co.uk/images/ic/314x176/p079rd1z.jpg,Scottish Labour EU Campaign Event
https://www.bbc.co.uk/programmes/b07l3x93,Programmes,BBC Parliament,1 July 2016,https://ichef.bbci.co.uk/images/ic/314x176/p040fnjk.jpg,Britain and the EU
https://www.bbc.co.uk/programmes/b07ggk4g,Programmes,BBC Parliament,28 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03x1cgk.jpg,EU Polls Debate
https://www.bbc.co.uk/programmes/b07gg96k,Programmes,BBC Parliament,30 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03kwd2z.jpg,EU Referendum Polls Debate
https://www.bbc.co.uk/programmes/b07gb5vm,Programmes,BBC Parliament,BBC One Wales,https://ichef.bbci.co.uk/images/ic/314x176/p03z0qjc.jpg,BBC Wales EU Referendum Debate
https://www.bbc.co.uk/programmes/b07c57x2,Programmes,BBC Parliament,BBC Radio 5 live,https://ichef.bbci.co.uk/images/ic/314x176/p03vlm52.jpg,EU Referendum Debate
https://www.bbc.co.uk/programmes/b01nnld2,Programmes,BBC Parliament,13 October 2012,https://ichef.bbci.co.uk/images/ic/314x176/p01hyybb.jpg,EU President News Conference
https://www.bbc.co.uk/programmes/b07f6xtc,Programmes,BBC Parliament,BBC Radio Wales,https://ichef.bbci.co.uk/images/ic/314x176/p03ybp75.jpg,BBC Wales EU Debate Live with Huw Edwards
https://www.bbc.co.uk/programmes/b07cx6qx,Programmes,BBC Parliament,10 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03v9q2d.jpg,EU Referendum - David Cameron
https://www.bbc.co.uk/programmes/b07f5lz1,Programmes,BBC Parliament,21 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03ys8v1.jpg,EU Referendum Campaign
https://www.bbc.co.uk/news/world-europe-60920588,News,Unknown,Europe,https://ichef.bbci.co.uk/news/416/cpsprodpb/176AA/production/_123941959_gettyimages-1227802694-1.jpg,Ukraine war: Dozens of Russian diplomats expelled by four EU nations
https://www.bbc.co.uk/programmes/b07d6g8y,Programmes,Unknown,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p03kwd2z.jpg,EU Referendum Campaign Broadcasts
https://www.bbc.co.uk/programmes/b07gnktq,Programmes,Unknown,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p03kwd2z.jpg,EU Referendum Campaign Broadcasts - Nations
https://www.bbc.co.uk/programmes/b07f5m86,Programmes,BBC Parliament,21 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03ysbr4.jpg,EU Referendum - Lord Owen
https://www.bbc.co.uk/programmes/b07dbwm0,Programmes,BBC Parliament,14 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03v9pw7.jpg,EU Referendum - Iain Duncan Smith
https://www.bbc.co.uk/programmes/b07dbwm2,Programmes,BBC Parliament,14 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03v9prf.jpg,EU Referendum - Gordon Brown
https://www.bbc.co.uk/programmes/b07cx6qz,Programmes,BBC Parliament,10 May 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03v9pz1.jpg,EU Referendum - Boris Johnson
https://www.bbc.co.uk/news/business-60871601,News,BBC Parliament,Business,https://ichef.bbci.co.uk/news/416/cpsprodpb/FDFA/production/_123881056_gettyimages-1244901240.jpg,EU signs US gas deal to curb reliance on Russia
https://www.bbc.co.uk/programmes/b07l6fnp,Programmes,BBC Parliament,2 July 2016,https://ichef.bbci.co.uk/images/ic/314x176/p040mgc5.jpg,Britain's EU Referendum Vote Seminar
https://www.bbc.co.uk/programmes/b07g8slm,Programmes,BBC Parliament,BBC One Northern Ireland,https://ichef.bbci.co.uk/images/ic/314x176/p03kwd2z.jpg,EU Referendum Debate - NI Decides
https://www.bbc.co.uk/programmes/b07jwwrl,Programmes,BBC World Service,BBC Radio Wales,https://ichef.bbci.co.uk/images/ic/314x176/p03ybp75.jpg,The BBC Wales EU Referendum Debate with Bethan Rhys Roberts
https://www.bbc.co.uk/programmes/b07mj400,Programmes,BBC Parliament,30 July 2016,https://ichef.bbci.co.uk/images/ic/314x176/p0437y17.jpg,Britain's Vote In The EU Referendum
https://www.bbc.co.uk/programmes/b09995lr,Programmes,BBC Parliament,29 September 2017,https://ichef.bbci.co.uk/images/ic/314x176/p02lrpbt.jpg,Live EU News Conference
https://www.bbc.co.uk/programmes/n3ct6l24,Programmes,BBC Parliament,BBC  World News,https://ichef.bbci.co.uk/images/ic/314x176/p07b964j.jpg,EU Elections 2019
https://www.bbc.co.uk/programmes/m0005p0g,Programmes,BBC Parliament,17 May 2019,https://ichef.bbci.co.uk/images/ic/314x176/p079mzkt.jpg,Scottish Greens EU Manifesto Launch
https://www.bbc.co.uk/programmes/m0005p0j,Programmes,BBC Parliament,17 May 2019,https://ichef.bbci.co.uk/images/ic/314x176/p079mzm6.jpg,Scottish Conservatives EU Campaign Launch
https://www.bbc.co.uk/programmes/m0005nhf,Programmes,BBC Parliament,17 May 2019,https://ichef.bbci.co.uk/images/ic/314x176/p079mz8w.jpg,Conservative Party EU Campaign Launch
https://www.bbc.co.uk/programmes/m0005nhh,Programmes,BBC Parliament,17 May 2019,https://ichef.bbci.co.uk/images/ic/314x176/p079mzcn.jpg,SNP EU Manifesto Launch
https://www.bbc.co.uk/programmes/m0005nhk,Programmes,BBC Parliament,17 May 2019,https://ichef.bbci.co.uk/images/ic/314x176/p079mzf9.jpg,Scottish Liberal Democrats EU Manifesto Launch
https://www.bbc.co.uk/programmes/b09l8zqy,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnkz.jpg,Britain and the EU: The Brexit Interviews
https://www.bbc.co.uk/programmes/b09bbkl4,Programmes,BBC Parliament,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p02lrpbt.jpg,EU News Conference
https://www.bbc.co.uk/programmes/b074mn1r,Programmes,BBC Parliament,5 March 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03lqrfj.jpg,EU Referendum - BCC Panel on Europe
https://www.bbc.co.uk/programmes/b0444tj4,Programmes,BBC Parliament,15 May 2014,https://ichef.bbci.co.uk/images/ic/314x176/p01ysp8p.jpg,Live EU Commission President Debate
https://www.bbc.co.uk/programmes/b0086h81,Programmes,BBC Parliament,15 May 2014,https://ichef.bbci.co.uk/images/ic/314x176/p02lrpbt.jpg,Developments in the EU Committee
https://www.bbc.co.uk/programmes/p0bxkjhq,Programmes,BBC World Service,25 March,https://ichef.bbci.co.uk/images/ic/314x176/p09kz0v5.jpg,Global News Podcast: The US and EU agree a major gas deal
https://www.bbc.co.uk/programmes/m00163w0,Programmes,BBC World Service,BBC  World News,https://ichef.bbci.co.uk/images/ic/314x176/p0by6rvj.jpg,HARDtalk: Mairead McGuinness - EU Commissioner for Financial Services
https://www.bbc.co.uk/news/uk-wales-politics-60849989,News,BBC World Service,Wales politics,https://ichef.bbci.co.uk/news/416/cpsprodpb/13395/production/_114714787_eufundinginwalesa465nearebbwvales2016getty.jpg,UK minister seeks talks on scheme replacing EU aid fund
https://www.bbc.co.uk/news/uk-northern-ireland-60828576,News,BBC World Service,Northern Ireland,https://ichef.bbci.co.uk/news/416/cpsprodpb/1117F/production/_122251007_gettyimages-1237083692.jpg,Brexit: 'More needed to explain impact of EU law on NI'
https://www.bbc.co.uk/news/uk-wales-60833908,News,BBC World Service,Wales,https://ichef.bbci.co.uk/news/416/cpsprodpb/2A74/production/_96286801__80777140_southstack.jpg,Morlais tidal project on Anglesey gets £31m EU funding
https://www.bbc.co.uk/programmes/m0015jc4,Programmes,BBC News Channel,17 March,https://ichef.bbci.co.uk/images/ic/314x176/p0bwntdg.jpg,"HARDtalk: Kadri Simson, EU Commissioner for Energy"
https://www.bbc.co.uk/programmes/m0000rkh,Programmes,BBC News Channel,BBC ALBA,https://ichef.bbci.co.uk/images/ic/314x176/p06mqkpq.jpg,Creag nam Buthaidean/Puffin Rock: Series 2: Mossy Eu-comasach
https://www.bbc.com/news/articles/cp9yenpgjwzo,News,Unknown,,https://ichef.bbci.co.uk/news/416/cpsprodpb/1cc0/live/b408a3f0-a48a-11ec-b979-5923afd2403b.jpg,Facebook fined €17m for breaching EU data privacy laws
